country,iso3,n_paragraphs,share__violence_type__VD,share__violence_type__VS,share__violence_type__VC,share__violence_type__NONE_ABSENT,share__attribution__ATR-ISR,share__attribution__ATR-PAL,share__attribution__NONE,share__attribution__NONE_ABSENT,share__positive_negative__PN0,share__positive_negative__PN1,share__positive_negative__PN2,share__positive_negative__PN3,share__positive_negative__PN4,share__positive_negative__NONE_ABSENT,share__transcend__T0,share__transcend__T1,share__transcend__T2,share__transcend__T3,share__transcend__T4,share__transcend__NONE_ABSENT,share__imperialism__I0,share__imperialism__I1,share__imperialism__I2,share__imperialism__I3,share__imperialism__I4,share__imperialism__NONE_ABSENT,share__relation_type__AB,share__relation_type__ANTI,share__relation_type__SYM,share__relation_type__NONE_ABSENT,count__violence_type__VD,count__violence_type__VS,count__violence_type__VC,count__violence_type__NONE_ABSENT,count__attribution__ATR-ISR,count__attribution__ATR-PAL,count__attribution__NONE,count__attribution__NONE_ABSENT,count__positive_negative__PN0,count__positive_negative__PN1,count__positive_negative__PN2,count__positive_negative__PN3,count__positive_negative__PN4,count__positive_negative__NONE_ABSENT,count__transcend__T0,count__transcend__T1,count__transcend__T2,count__transcend__T3,count__transcend__T4,count__transcend__NONE_ABSENT,count__imperialism__I0,count__imperialism__I1,count__imperialism__I2,count__imperialism__I3,count__imperialism__I4,count__imperialism__NONE_ABSENT,count__relation_type__AB,count__relation_type__ANTI,count__relation_type__SYM,count__relation_type__NONE_ABSENT
Republic of Korea,KOR,464,0.3599137931034483,0.2521551724137931,0.021551724137931036,0.5150862068965517,0.30603448275862066,0.1788793103448276,0.11853448275862069,0.5150862068965517,0.14870689655172414,0.27586206896551724,0.13577586206896552,0.07112068965517242,0.017241379310344827,0.4504310344827586,0.010775862068965518,0.032327586206896554,0.05603448275862069,0.10129310344827586,0.017241379310344827,0.7823275862068966,0.008620689655172414,0.16810344827586207,0.05818965517241379,0.010775862068965518,0.004310344827586207,0.7758620689655172,0.0,0.0,0.1206896551724138,0.8793103448275862,167,117,10,239,142,83,55,239,69,128,63,33,8,209,5,15,26,47,8,363,4,78,27,5,2,360,0,0,56,408
Malta,MLT,455,0.34725274725274724,0.23296703296703297,0.006593406593406593,0.545054945054945,0.26373626373626374,0.11428571428571428,0.14725274725274726,0.545054945054945,0.13406593406593406,0.3120879120879121,0.12747252747252746,0.10989010989010989,0.006593406593406593,0.3978021978021978,0.015384615384615385,0.024175824175824177,0.041758241758241756,0.07252747252747253,0.03296703296703297,0.8175824175824176,0.002197802197802198,0.15384615384615385,0.04395604395604396,0.03296703296703297,0.0,0.7846153846153846,0.0,0.0,0.11868131868131868,0.8813186813186813,158,106,3,248,120,52,67,248,61,142,58,50,3,181,7,11,19,33,15,372,1,70,20,15,0,357,0,0,54,401
Mozambique,MOZ,370,0.17027027027027028,0.1,0.008108108108108109,0.7621621621621621,0.13783783783783785,0.01891891891891892,0.11621621621621622,0.7621621621621621,0.0891891891891892,0.27837837837837837,0.1972972972972973,0.06756756756756757,0.024324324324324326,0.42702702702702705,0.021621621621621623,0.010810810810810811,0.02702702702702703,0.03783783783783784,0.0891891891891892,0.8135135135135135,0.0,0.10810810810810811,0.07027027027027027,0.013513513513513514,0.032432432432432434,0.7891891891891892,0.0,0.0,0.12702702702702703,0.8729729729729729,63,37,3,282,51,7,43,282,33,103,73,25,9,158,8,4,10,14,33,301,0,40,26,5,12,292,0,0,47,323
Japan,JPN,367,0.3405994550408719,0.13896457765667575,0.0,0.5858310626702997,0.17438692098092642,0.15258855585831063,0.15803814713896458,0.5858310626702997,0.12534059945504086,0.2670299727520436,0.11716621253405994,0.05449591280653951,0.02997275204359673,0.46866485013623976,0.010899182561307902,0.01634877384196185,0.07084468664850137,0.035422343324250684,0.05449591280653951,0.8119891008174387,0.005449591280653951,0.11444141689373297,0.05722070844686648,0.01907356948228883,0.013623978201634877,0.8038147138964578,0.0027247956403269754,0.0,0.10354223433242507,0.8937329700272479,125,51,0,215,64,56,58,215,46,98,43,20,11,172,4,6,26,13,20,298,2,42,21,7,5,295,1,0,38,328
Pakistan,PAK,344,0.3313953488372093,0.36627906976744184,0.005813953488372093,0.49127906976744184,0.4418604651162791,0.005813953488372093,0.0755813953488372,0.49127906976744184,0.10755813953488372,0.2180232558139535,0.09011627906976744,0.2238372093023256,0.0,0.45058139534883723,0.13372093023255813,0.055232558139534885,0.05813953488372093,0.09593023255813954,0.0029069767441860465,0.6598837209302325,0.011627906976744186,0.0872093023255814,0.023255813953488372,0.040697674418604654,0.014534883720930232,0.8313953488372093,0.0,0.011627906976744186,0.09011627906976744,0.8982558139534884,114,126,2,169,152,2,26,169,37,75,31,77,0,155,46,19,20,33,1,227,4,30,8,14,5,286,0,4,31,309
Ecuador,ECU,332,0.28313253012048195,0.060240963855421686,0.018072289156626505,0.6686746987951807,0.060240963855421686,0.19578313253012047,0.1355421686746988,0.6686746987951807,0.08734939759036145,0.29518072289156627,0.09939759036144578,0.09939759036144578,0.0,0.463855421686747,0.02108433734939759,0.024096385542168676,0.0783132530120482,0.06927710843373494,0.05120481927710843,0.7650602409638554,0.0030120481927710845,0.07228915662650602,0.09337349397590361,0.0030120481927710845,0.0,0.8463855421686747,0.0,0.0,0.12951807228915663,0.8704819277108434,94,20,6,222,20,65,45,222,29,98,33,33,0,154,7,8,26,23,17,254,1,24,31,1,0,281,0,0,43,289
United Arab Emirates,ARE,263,0.33840304182509506,0.27756653992395436,0.026615969581749048,0.5095057034220533,0.3574144486692015,0.053231939163498096,0.12927756653992395,0.5095057034220533,0.053231939163498096,0.3269961977186312,0.09885931558935361,0.14068441064638784,0.034220532319391636,0.42585551330798477,0.0038022813688212928,0.034220532319391636,0.026615969581749048,0.12547528517110265,0.019011406844106463,0.7908745247148289,0.0,0.10646387832699619,0.060836501901140684,0.015209125475285171,0.0076045627376425855,0.8136882129277566,0.0038022813688212928,0.0,0.1482889733840304,0.8517110266159695,89,73,7,134,94,14,34,134,14,86,26,37,9,112,1,9,7,33,5,208,0,28,16,4,2,214,1,0,39,224
Egypt,EGY,230,0.3652173913043478,0.3695652173913043,0.043478260869565216,0.44782608695652176,0.4956521739130435,0.008695652173913044,0.06521739130434782,0.44782608695652176,0.12173913043478261,0.26956521739130435,0.08260869565217391,0.21304347826086956,0.008695652173913044,0.40869565217391307,0.06521739130434782,0.10434782608695652,0.043478260869565216,0.0391304347826087,0.013043478260869565,0.7478260869565218,0.008695652173913044,0.14782608695652175,0.043478260869565216,0.0782608695652174,0.017391304347826087,0.7260869565217392,0.004347826086956522,0.05652173913043478,0.09565217391304348,0.8434782608695652,84,85,10,103,114,2,15,103,28,62,19,49,2,94,15,24,10,9,3,172,2,34,10,18,4,167,1,13,22,194
Panama,PAN,211,0.3033175355450237,0.2037914691943128,0.004739336492890996,0.5781990521327014,0.07582938388625593,0.15165876777251186,0.21800947867298578,0.5781990521327014,0.037914691943127965,0.24170616113744076,0.13744075829383887,0.03317535545023697,0.009478672985781991,0.5687203791469194,0.04265402843601896,0.014218009478672985,0.07582938388625593,0.0995260663507109,0.037914691943127965,0.7298578199052133,0.0,0.03317535545023697,0.014218009478672985,0.009478672985781991,0.0,0.9478672985781991,0.0,0.0,0.08530805687203792,0.9146919431279621,64,43,1,122,16,32,46,122,8,51,29,7,2,120,9,3,16,21,8,154,0,7,3,2,0,200,0,0,18,193
Somalia,SOM,207,0.2318840579710145,0.36231884057971014,0.0,0.5362318840579711,0.30917874396135264,0.0,0.17391304347826086,0.5362318840579711,0.13043478260869565,0.21256038647342995,0.0821256038647343,0.22705314009661837,0.01932367149758454,0.46859903381642515,0.057971014492753624,0.05314009661835749,0.06763285024154589,0.13043478260869565,0.0,0.6908212560386473,0.024154589371980676,0.09178743961352658,0.024154589371980676,0.07246376811594203,0.028985507246376812,0.7729468599033816,0.0,0.0,0.0821256038647343,0.9178743961352657,48,75,0,111,64,0,36,111,27,44,17,47,4,97,12,11,14,27,0,143,5,19,5,15,6,160,0,0,17,190
Denmark,DNK,197,0.30456852791878175,0.25888324873096447,0.0,0.5482233502538071,0.26903553299492383,0.15736040609137056,0.08629441624365482,0.5482233502538071,0.07614213197969544,0.30456852791878175,0.10152284263959391,0.08629441624365482,0.01015228426395939,0.4720812182741117,0.050761421319796954,0.030456852791878174,0.025380710659898477,0.08629441624365482,0.02030456852791878,0.7868020304568528,0.030456852791878174,0.17258883248730963,0.03553299492385787,0.015228426395939087,0.01015228426395939,0.7614213197969543,0.005076142131979695,0.0,0.1218274111675127,0.8730964467005076,60,51,0,108,53,31,17,108,15,60,20,17,2,93,10,6,5,17,4,155,6,34,7,3,2,150,1,0,24,172
Lebanon,LBN,194,0.34536082474226804,0.22164948453608246,0.05154639175257732,0.4948453608247423,0.4639175257731959,0.015463917525773196,0.041237113402061855,0.4948453608247423,0.09278350515463918,0.15979381443298968,0.13917525773195877,0.14432989690721648,0.010309278350515464,0.5567010309278351,0.13917525773195877,0.030927835051546393,0.02577319587628866,0.041237113402061855,0.005154639175257732,0.7577319587628866,0.010309278350515464,0.23195876288659795,0.02577319587628866,0.03608247422680412,0.0,0.7061855670103093,0.0,0.041237113402061855,0.07731958762886598,0.8814432989690721,67,43,10,96,90,3,8,96,18,31,27,28,2,108,27,6,5,8,1,147,2,45,5,7,0,137,0,8,15,171
Greece,GRC,187,0.3315508021390374,0.1925133689839572,0.0,0.6149732620320856,0.12299465240641712,0.1497326203208556,0.1711229946524064,0.6149732620320856,0.12834224598930483,0.3048128342245989,0.24598930481283424,0.13368983957219252,0.03208556149732621,0.3422459893048128,0.0213903743315508,0.053475935828877004,0.06951871657754011,0.12834224598930483,0.0481283422459893,0.6898395721925134,0.03208556149732621,0.11229946524064172,0.0962566844919786,0.06951871657754011,0.0,0.7540106951871658,0.0106951871657754,0.0,0.15508021390374332,0.8342245989304813,62,36,0,115,23,28,32,115,24,57,46,25,6,64,4,10,13,24,9,129,6,21,18,13,0,141,2,0,29,156
Iran,IRN,186,0.5698924731182796,0.3010752688172043,0.04838709677419355,0.3064516129032258,0.6612903225806451,0.010752688172043012,0.0913978494623656,0.3064516129032258,0.0967741935483871,0.11827956989247312,0.016129032258064516,0.15591397849462366,0.005376344086021506,0.6612903225806451,0.15053763440860216,0.11827956989247312,0.016129032258064516,0.021505376344086023,0.0,0.6935483870967742,0.0,0.08064516129032258,0.0,0.026881720430107527,0.010752688172043012,0.8817204301075269,0.016129032258064516,0.06989247311827956,0.010752688172043012,0.9032258064516129,106,56,9,57,123,2,17,57,18,22,3,29,1,123,28,22,3,4,0,129,0,15,0,5,2,164,3,13,2,168
Brazil,BRA,182,0.23076923076923078,0.16483516483516483,0.0,0.6758241758241759,0.18681318681318682,0.06593406593406594,0.12087912087912088,0.6758241758241759,0.06043956043956044,0.2802197802197802,0.0989010989010989,0.22527472527472528,0.02197802197802198,0.42857142857142855,0.01098901098901099,0.016483516483516484,0.038461538461538464,0.07142857142857142,0.054945054945054944,0.8131868131868132,0.0,0.13186813186813187,0.08241758241758242,0.02197802197802198,0.01098901098901099,0.7692307692307693,0.0,0.005494505494505495,0.12637362637362637,0.8681318681318682,42,30,0,123,34,12,22,123,11,51,18,41,4,78,2,3,7,13,10,148,0,24,15,4,2,140,0,1,23,158
