country,iso3,n_paragraphs,share__violence_type__VD,share__violence_type__VS,share__violence_type__VC,share__violence_type__NONE_ABSENT,share__attribution__ATR-ISR,share__attribution__ATR-PAL,share__attribution__NONE,share__attribution__NONE_ABSENT,share__positive_negative__PN0,share__positive_negative__PN1,share__positive_negative__PN2,share__positive_negative__PN3,share__positive_negative__PN4,share__positive_negative__NONE_ABSENT,share__transcend__T0,share__transcend__T1,share__transcend__T2,share__transcend__T3,share__transcend__T4,share__transcend__NONE_ABSENT,share__imperialism__I0,share__imperialism__I1,share__imperialism__I2,share__imperialism__I3,share__imperialism__I4,share__imperialism__NONE_ABSENT,share__relation_type__AB,share__relation_type__ANTI,share__relation_type__SYM,share__relation_type__NONE_ABSENT,count__violence_type__VD,count__violence_type__VS,count__violence_type__VC,count__violence_type__NONE_ABSENT,count__attribution__ATR-ISR,count__attribution__ATR-PAL,count__attribution__NONE,count__attribution__NONE_ABSENT,count__positive_negative__PN0,count__positive_negative__PN1,count__positive_negative__PN2,count__positive_negative__PN3,count__positive_negative__PN4,count__positive_negative__NONE_ABSENT,count__transcend__T0,count__transcend__T1,count__transcend__T2,count__transcend__T3,count__transcend__T4,count__transcend__NONE_ABSENT,count__imperialism__I0,count__imperialism__I1,count__imperialism__I2,count__imperialism__I3,count__imperialism__I4,count__imperialism__NONE_ABSENT,count__relation_type__AB,count__relation_type__ANTI,count__relation_type__SYM,count__relation_type__NONE_ABSENT
Gabon,GAB,103,0.24271844660194175,0.1262135922330097,0.019417475728155338,0.6893203883495146,0.10679611650485436,0.14563106796116504,0.10679611650485436,0.6893203883495146,0.07766990291262135,0.3592233009708738,0.23300970873786409,0.06796116504854369,0.0,0.34951456310679613,0.0,0.009708737864077669,0.07766990291262135,0.06796116504854369,0.04854368932038835,0.7961165048543689,0.0,0.06796116504854369,0.13592233009708737,0.0,0.019417475728155338,0.7864077669902912,0.0,0.0,0.1650485436893204,0.8349514563106796,25,13,2,71,11,15,11,71,8,37,24,7,0,36,0,1,8,7,5,82,0,7,14,0,2,81,0,0,17,86
Malaysia,MYS,97,0.29896907216494845,0.4020618556701031,0.041237113402061855,0.4639175257731959,0.422680412371134,0.010309278350515464,0.1134020618556701,0.4639175257731959,0.08247422680412371,0.17525773195876287,0.041237113402061855,0.31958762886597936,0.0,0.4329896907216495,0.07216494845360824,0.17525773195876287,0.030927835051546393,0.041237113402061855,0.0,0.6804123711340206,0.010309278350515464,0.13402061855670103,0.041237113402061855,0.041237113402061855,0.030927835051546393,0.7525773195876289,0.0,0.041237113402061855,0.15463917525773196,0.8041237113402062,29,39,4,45,41,1,11,45,8,17,4,31,0,42,7,17,3,4,0,66,1,13,4,4,3,73,0,4,15,78
Norway,NOR,96,0.17708333333333334,0.17708333333333334,0.0,0.7083333333333334,0.16666666666666666,0.07291666666666667,0.09375,0.7083333333333334,0.07291666666666667,0.28125,0.14583333333333334,0.23958333333333334,0.010416666666666666,0.3229166666666667,0.010416666666666666,0.03125,0.020833333333333332,0.125,0.08333333333333333,0.7291666666666666,0.010416666666666666,0.15625,0.03125,0.125,0.010416666666666666,0.6979166666666666,0.0,0.0,0.2604166666666667,0.7395833333333334,17,17,0,68,16,7,9,68,7,27,14,23,1,31,1,3,2,12,8,70,1,15,3,12,1,67,0,0,25,71
Venezuela,VEN,95,0.45263157894736844,0.43157894736842106,0.05263157894736842,0.35789473684210527,0.6421052631578947,0.010526315789473684,0.010526315789473684,0.35789473684210527,0.010526315789473684,0.15789473684210525,0.05263157894736842,0.25263157894736843,0.0,0.5368421052631579,0.10526315789473684,0.21052631578947367,0.07368421052631578,0.021052631578947368,0.0,0.5894736842105263,0.0,0.15789473684210525,0.010526315789473684,0.031578947368421054,0.031578947368421054,0.7789473684210526,0.010526315789473684,0.10526315789473684,0.06315789473684211,0.8315789473684211,43,41,5,34,61,1,1,34,1,15,5,24,0,51,10,20,7,2,0,56,0,15,1,3,3,74,1,10,6,79
Chile,CHL,94,0.26595744680851063,0.19148936170212766,0.0,0.5957446808510638,0.2978723404255319,0.10638297872340426,0.10638297872340426,0.5957446808510638,0.09574468085106383,0.22340425531914893,0.09574468085106383,0.13829787234042554,0.02127659574468085,0.5,0.0,0.06382978723404255,0.05319148936170213,0.11702127659574468,0.0,0.776595744680851,0.0,0.14893617021276595,0.031914893617021274,0.010638297872340425,0.0,0.8191489361702128,0.0,0.0,0.10638297872340426,0.8936170212765957,25,18,0,56,28,10,10,56,9,21,9,13,2,47,0,6,5,11,0,73,0,14,3,1,0,77,0,0,10,84
Uganda,UGA,91,0.23076923076923078,0.43956043956043955,0.03296703296703297,0.5164835164835165,0.4835164835164835,0.0,0.0,0.5164835164835165,0.16483516483516483,0.31868131868131866,0.03296703296703297,0.3076923076923077,0.0,0.3076923076923077,0.03296703296703297,0.0,0.02197802197802198,0.03296703296703297,0.0,0.9120879120879121,0.0,0.31868131868131866,0.0,0.04395604395604396,0.01098901098901099,0.6483516483516484,0.0,0.0,0.08791208791208792,0.9120879120879121,21,40,3,47,44,0,0,47,15,29,3,28,0,28,3,0,2,3,0,83,0,29,0,4,1,59,0,0,8,83
Libya,LBY,84,0.42857142857142855,0.25,0.07142857142857142,0.4642857142857143,0.4880952380952381,0.0,0.07142857142857142,0.4642857142857143,0.08333333333333333,0.11904761904761904,0.07142857142857142,0.19047619047619047,0.0,0.5952380952380952,0.03571428571428571,0.25,0.011904761904761904,0.023809523809523808,0.0,0.6785714285714286,0.0,0.05952380952380952,0.03571428571428571,0.047619047619047616,0.08333333333333333,0.7857142857142857,0.011904761904761904,0.08333333333333333,0.047619047619047616,0.8571428571428571,36,21,6,39,41,0,6,39,7,10,6,16,0,50,3,21,1,2,0,57,0,5,3,4,7,66,1,7,4,72
Tunisia,TUN,84,0.5238095238095238,0.5476190476190477,0.03571428571428571,0.2857142857142857,0.6190476190476191,0.0,0.09523809523809523,0.2857142857142857,0.09523809523809523,0.2261904761904762,0.03571428571428571,0.25,0.0,0.47619047619047616,0.11904761904761904,0.08333333333333333,0.011904761904761904,0.011904761904761904,0.0,0.7738095238095238,0.023809523809523808,0.09523809523809523,0.0,0.08333333333333333,0.05952380952380952,0.7738095238095238,0.0,0.07142857142857142,0.03571428571428571,0.8928571428571429,44,46,3,24,52,0,8,24,8,19,3,21,0,40,10,7,1,1,0,65,2,8,0,7,5,65,0,6,3,75
Cuba,CUB,84,0.40476190476190477,0.4642857142857143,0.03571428571428571,0.3333333333333333,0.5476190476190477,0.0,0.19047619047619047,0.3333333333333333,0.13095238095238096,0.14285714285714285,0.08333333333333333,0.2857142857142857,0.0,0.4642857142857143,0.10714285714285714,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.5952380952380952,0.0,0.047619047619047616,0.05952380952380952,0.05952380952380952,0.023809523809523808,0.8095238095238095,0.0,0.05952380952380952,0.11904761904761904,0.8214285714285714,34,39,3,28,46,0,16,28,11,12,7,24,0,39,9,14,7,7,0,50,0,4,5,5,2,68,0,5,10,69
Morocco,MAR,81,0.07407407407407407,0.12345679012345678,0.0,0.8148148148148148,0.16049382716049382,0.0,0.024691358024691357,0.8148148148148148,0.012345679012345678,0.345679012345679,0.1728395061728395,0.18518518518518517,0.024691358024691357,0.37037037037037035,0.0,0.1111111111111111,0.07407407407407407,0.09876543209876543,0.07407407407407407,0.6419753086419753,0.0,0.07407407407407407,0.012345679012345678,0.06172839506172839,0.0,0.8641975308641975,0.0,0.0,0.20987654320987653,0.7901234567901234,6,10,0,66,13,0,2,66,1,28,14,15,2,30,0,9,6,8,6,52,0,6,1,5,0,70,0,0,17,64
Mexico,MEX,76,0.19736842105263158,0.13157894736842105,0.0,0.7236842105263158,0.15789473684210525,0.07894736842105263,0.11842105263157894,0.7236842105263158,0.10526315789473684,0.2236842105263158,0.13157894736842105,0.13157894736842105,0.013157894736842105,0.4605263157894737,0.0,0.0,0.013157894736842105,0.14473684210526316,0.02631578947368421,0.8157894736842105,0.0,0.07894736842105263,0.07894736842105263,0.039473684210526314,0.0,0.8421052631578947,0.0,0.0,0.15789473684210525,0.8421052631578947,15,10,0,55,12,6,9,55,8,17,10,10,1,35,0,0,1,11,2,62,0,6,6,3,0,64,0,0,12,64
Ireland,IRL,74,0.3108108108108108,0.25675675675675674,0.02702702702702703,0.5405405405405406,0.2702702702702703,0.12162162162162163,0.13513513513513514,0.5405405405405406,0.05405405405405406,0.3783783783783784,0.10810810810810811,0.20270270270270271,0.0,0.33783783783783783,0.0,0.02702702702702703,0.05405405405405406,0.13513513513513514,0.02702702702702703,0.7567567567567568,0.0,0.20270270270270271,0.06756756756756757,0.05405405405405406,0.013513513513513514,0.7297297297297297,0.0,0.0,0.10810810810810811,0.8918918918918919,23,19,2,40,20,9,10,40,4,28,8,15,0,25,0,2,4,10,2,56,0,15,5,4,1,54,0,0,8,66
Philippines,PHL,71,0.04225352112676056,0.0,0.0,0.9577464788732394,0.0,0.014084507042253521,0.028169014084507043,0.9577464788732394,0.04225352112676056,0.2676056338028169,0.352112676056338,0.056338028169014086,0.0,0.323943661971831,0.0,0.0,0.014084507042253521,0.14084507042253522,0.014084507042253521,0.8309859154929577,0.0,0.056338028169014086,0.056338028169014086,0.014084507042253521,0.0,0.8732394366197183,0.0,0.0,0.15492957746478872,0.8450704225352113,3,0,0,68,0,1,2,68,3,19,25,4,0,23,0,0,1,10,1,59,0,4,4,1,0,62,0,0,11,60
Mauritania,MRT,71,0.5070422535211268,0.4507042253521127,0.04225352112676056,0.30985915492957744,0.6901408450704225,0.0,0.0,0.30985915492957744,0.056338028169014086,0.28169014084507044,0.028169014084507043,0.15492957746478872,0.0,0.5211267605633803,0.28169014084507044,0.014084507042253521,0.056338028169014086,0.0,0.014084507042253521,0.6338028169014085,0.0,0.28169014084507044,0.04225352112676056,0.028169014084507043,0.0,0.6619718309859155,0.0,0.09859154929577464,0.04225352112676056,0.8591549295774648,36,32,3,22,49,0,0,22,4,20,2,11,0,37,20,1,4,0,1,45,0,20,3,2,0,47,0,7,3,61
Bangladesh,BGD,71,0.5492957746478874,0.28169014084507044,0.0,0.43661971830985913,0.4647887323943662,0.0,0.11267605633802817,0.43661971830985913,0.2676056338028169,0.19718309859154928,0.056338028169014086,0.3380281690140845,0.0,0.323943661971831,0.1267605633802817,0.11267605633802817,0.056338028169014086,0.07042253521126761,0.0,0.6338028169014085,0.0,0.056338028169014086,0.028169014084507043,0.08450704225352113,0.014084507042253521,0.8169014084507042,0.0,0.0,0.1267605633802817,0.8732394366197183,39,20,0,31,33,0,8,31,19,14,4,24,0,23,9,8,4,5,0,45,0,4,2,6,1,58,0,0,9,62
Spain,ESP,70,0.24285714285714285,0.12857142857142856,0.0,0.6857142857142857,0.1,0.11428571428571428,0.15714285714285714,0.6857142857142857,0.02857142857142857,0.2714285714285714,0.32857142857142857,0.15714285714285714,0.0,0.2714285714285714,0.0,0.0,0.05714285714285714,0.11428571428571428,0.07142857142857142,0.7714285714285715,0.014285714285714285,0.14285714285714285,0.1,0.07142857142857142,0.1,0.6,0.0,0.0,0.2714285714285714,0.7285714285714285,17,9,0,48,7,8,11,48,2,19,23,11,0,19,0,0,4,8,5,54,1,10,7,5,7,42,0,0,19,51
Indonesia,IDN,66,0.2878787878787879,0.25757575757575757,0.015151515151515152,0.5606060606060606,0.2727272727272727,0.0,0.19696969696969696,0.5606060606060606,0.13636363636363635,0.25757575757575757,0.10606060606060606,0.18181818181818182,0.0,0.4090909090909091,0.07575757575757576,0.06060606060606061,0.12121212121212122,0.06060606060606061,0.015151515151515152,0.6818181818181818,0.015151515151515152,0.030303030303030304,0.030303030303030304,0.045454545454545456,0.030303030303030304,0.8636363636363636,0.0,0.015151515151515152,0.12121212121212122,0.8636363636363636,19,17,1,37,18,0,13,37,9,17,7,12,0,27,5,4,8,4,1,45,1,2,2,3,2,57,0,1,8,57
Maldives,MDV,65,0.24615384615384617,0.26153846153846155,0.0,0.6307692307692307,0.3384615384615385,0.0,0.046153846153846156,0.6307692307692307,0.1076923076923077,0.24615384615384617,0.09230769230769231,0.24615384615384617,0.0,0.5076923076923077,0.06153846153846154,0.3076923076923077,0.046153846153846156,0.046153846153846156,0.03076923076923077,0.5230769230769231,0.046153846153846156,0.13846153846153847,0.03076923076923077,0.07692307692307693,0.03076923076923077,0.7384615384615385,0.0,0.0,0.12307692307692308,0.8769230769230769,16,17,0,41,22,0,3,41,7,16,6,16,0,33,4,20,3,3,2,34,3,9,2,5,2,48,0,0,8,57
Portugal,PRT,60,0.3333333333333333,0.2,0.016666666666666666,0.6,0.2,0.16666666666666666,0.15,0.6,0.06666666666666667,0.4166666666666667,0.23333333333333334,0.11666666666666667,0.0,0.31666666666666665,0.0,0.03333333333333333,0.03333333333333333,0.1,0.016666666666666666,0.8166666666666667,0.0,0.08333333333333333,0.08333333333333333,0.05,0.0,0.7833333333333333,0.0,0.0,0.15,0.85,20,12,1,36,12,10,9,36,4,25,14,7,0,19,0,2,2,6,1,49,0,5,5,3,0,47,0,0,9,51
Viet Nam,VNM,56,0.16071428571428573,0.08928571428571429,0.0,0.8035714285714286,0.05357142857142857,0.0,0.16071428571428573,0.8035714285714286,0.17857142857142858,0.23214285714285715,0.26785714285714285,0.125,0.0,0.3392857142857143,0.0,0.017857142857142856,0.03571428571428571,0.08928571428571429,0.03571428571428571,0.8214285714285714,0.0,0.125,0.05357142857142857,0.0,0.017857142857142856,0.8035714285714286,0.0,0.0,0.16071428571428573,0.8392857142857143,9,5,0,45,3,0,9,45,10,13,15,7,0,19,0,1,2,5,2,46,0,7,3,0,1,45,0,0,9,47
Poland,POL,55,0.23636363636363636,0.10909090909090909,0.0,0.7090909090909091,0.10909090909090909,0.07272727272727272,0.16363636363636364,0.7090909090909091,0.09090909090909091,0.36363636363636365,0.21818181818181817,0.09090909090909091,0.0,0.36363636363636365,0.0,0.0,0.03636363636363636,0.05454545454545454,0.01818181818181818,0.8909090909090909,0.0,0.07272727272727272,0.03636363636363636,0.0,0.0,0.8909090909090909,0.0,0.0,0.09090909090909091,0.9090909090909091,13,6,0,39,6,4,9,39,5,20,12,5,0,20,0,0,2,3,1,49,0,4,2,0,0,49,0,0,5,50
Bahrain,BHR,53,0.03773584905660377,0.09433962264150944,0.0,0.8867924528301887,0.07547169811320754,0.0,0.03773584905660377,0.8867924528301887,0.05660377358490566,0.3018867924528302,0.16981132075471697,0.32075471698113206,0.05660377358490566,0.2830188679245283,0.0,0.0,0.1509433962264151,0.18867924528301888,0.03773584905660377,0.6226415094339622,0.0,0.09433962264150944,0.03773584905660377,0.018867924528301886,0.0,0.8490566037735849,0.0,0.0,0.1509433962264151,0.8490566037735849,2,5,0,47,4,0,2,47,3,16,9,17,3,15,0,0,8,10,2,33,0,5,2,1,0,45,0,0,8,45
Oman,OMN,52,0.36538461538461536,0.40384615384615385,0.0,0.4807692307692308,0.4423076923076923,0.0,0.07692307692307693,0.4807692307692308,0.1346153846153846,0.3076923076923077,0.07692307692307693,0.36538461538461536,0.0,0.4230769230769231,0.07692307692307693,0.2692307692307692,0.07692307692307693,0.057692307692307696,0.0,0.5192307692307693,0.0,0.09615384615384616,0.038461538461538464,0.038461538461538464,0.019230769230769232,0.8076923076923077,0.0,0.0,0.07692307692307693,0.9230769230769231,19,21,0,25,23,0,4,25,7,16,4,19,0,22,4,14,4,3,0,27,0,5,2,2,1,42,0,0,4,48
India,IND,51,0.17647058823529413,0.0196078431372549,0.0,0.803921568627451,0.0,0.11764705882352941,0.0784313725490196,0.803921568627451,0.058823529411764705,0.19607843137254902,0.2549019607843137,0.1568627450980392,0.0,0.43137254901960786,0.0196078431372549,0.0,0.0196078431372549,0.13725490196078433,0.0196078431372549,0.803921568627451,0.0,0.0,0.21568627450980393,0.0196078431372549,0.0,0.7843137254901961,0.0,0.0,0.17647058823529413,0.8235294117647058,9,1,0,41,0,6,4,41,3,10,13,8,0,22,1,0,1,7,1,41,0,0,11,1,0,40,0,0,9,42
Belgium,BEL,51,0.17647058823529413,0.19607843137254902,0.0392156862745098,0.6862745098039216,0.17647058823529413,0.11764705882352941,0.0784313725490196,0.6862745098039216,0.0196078431372549,0.27450980392156865,0.2549019607843137,0.13725490196078433,0.0,0.5098039215686274,0.0,0.058823529411764705,0.058823529411764705,0.1568627450980392,0.0196078431372549,0.7058823529411765,0.0196078431372549,0.21568627450980393,0.09803921568627451,0.0196078431372549,0.0,0.6666666666666666,0.0,0.0,0.19607843137254902,0.803921568627451,9,10,2,35,9,6,4,35,1,14,13,7,0,26,0,3,3,8,1,36,1,11,5,1,0,34,0,0,10,41
Thailand,THA,43,0.06976744186046512,0.046511627906976744,0.0,0.9302325581395349,0.0,0.0,0.06976744186046512,0.9302325581395349,0.06976744186046512,0.46511627906976744,0.20930232558139536,0.023255813953488372,0.0,0.27906976744186046,0.0,0.0,0.046511627906976744,0.09302325581395349,0.09302325581395349,0.7674418604651163,0.0,0.16279069767441862,0.13953488372093023,0.023255813953488372,0.0,0.6976744186046512,0.0,0.0,0.16279069767441862,0.8372093023255814,3,2,0,40,0,0,3,40,3,20,9,1,0,12,0,0,2,4,4,33,0,7,6,1,0,30,0,0,7,36
Sri Lanka,LKA,43,0.2558139534883721,0.13953488372093023,0.023255813953488372,0.6511627906976745,0.20930232558139536,0.023255813953488372,0.11627906976744186,0.6511627906976745,0.023255813953488372,0.23255813953488372,0.11627906976744186,0.11627906976744186,0.023255813953488372,0.5813953488372093,0.0,0.0,0.16279069767441862,0.11627906976744186,0.06976744186046512,0.6511627906976745,0.0,0.06976744186046512,0.06976744186046512,0.0,0.023255813953488372,0.8372093023255814,0.0,0.0,0.18604651162790697,0.813953488372093,11,6,1,28,9,1,5,28,1,10,5,5,1,25,0,0,7,5,3,28,0,3,3,0,1,36,0,0,8,35
Colombia,COL,42,0.19047619047619047,0.09523809523809523,0.0,0.7380952380952381,0.09523809523809523,0.0,0.16666666666666666,0.7380952380952381,0.07142857142857142,0.11904761904761904,0.09523809523809523,0.16666666666666666,0.0,0.5714285714285714,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.8095238095238095,0.0,0.09523809523809523,0.09523809523809523,0.023809523809523808,0.023809523809523808,0.7619047619047619,0.0,0.0,0.14285714285714285,0.8571428571428571,8,4,0,31,4,0,7,31,3,5,4,7,0,24,1,1,2,2,2,34,0,4,4,1,1,32,0,0,6,36
Liechtenstein,LIE,41,0.17073170731707318,0.12195121951219512,0.0,0.7317073170731707,0.0975609756097561,0.04878048780487805,0.14634146341463414,0.7317073170731707,0.04878048780487805,0.36585365853658536,0.04878048780487805,0.0975609756097561,0.0,0.4634146341463415,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.9512195121951219,0.0,0.0,0.0,0.04878048780487805,0.024390243902439025,0.926829268292683,0.0,0.0,0.04878048780487805,0.9512195121951219,7,5,0,30,4,2,6,30,2,15,2,4,0,19,0,0,0,1,1,39,0,0,0,2,1,38,0,0,2,39
Namibia,NAM,39,0.1794871794871795,0.358974358974359,0.0,0.5897435897435898,0.358974358974359,0.0,0.05128205128205128,0.5897435897435898,0.05128205128205128,0.1794871794871795,0.10256410256410256,0.4358974358974359,0.0,0.3333333333333333,0.0,0.0,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.8717948717948718,0.0,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.8461538461538461,0.0,0.0,0.07692307692307693,0.9230769230769231,7,14,0,23,14,0,2,23,2,7,4,17,0,13,0,0,1,2,2,34,0,3,2,1,1,33,0,0,3,36
Yemen,YEM,37,0.43243243243243246,0.35135135135135137,0.05405405405405406,0.43243243243243246,0.5405405405405406,0.0,0.02702702702702703,0.43243243243243246,0.10810810810810811,0.43243243243243246,0.0,0.2972972972972973,0.0,0.2972972972972973,0.0,0.0,0.0,0.02702702702702703,0.0,0.972972972972973,0.0,0.05405405405405406,0.0,0.02702702702702703,0.02702702702702703,0.8918918918918919,0.0,0.02702702702702703,0.05405405405405406,0.918918918918919,16,13,2,16,20,0,1,16,4,16,0,11,0,11,0,0,0,1,0,36,0,2,0,1,1,33,0,1,2,34
New Zealand,NZL,36,0.25,0.16666666666666666,0.027777777777777776,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.1388888888888889,0.3611111111111111,0.1388888888888889,0.1388888888888889,0.0,0.3055555555555556,0.027777777777777776,0.027777777777777776,0.0,0.05555555555555555,0.1388888888888889,0.75,0.0,0.2222222222222222,0.05555555555555555,0.0,0.0,0.7222222222222222,0.0,0.0,0.16666666666666666,0.8333333333333334,9,6,1,21,6,6,6,21,5,13,5,5,0,11,1,1,0,2,5,27,0,8,2,0,0,26,0,0,6,30
Peru,PER,36,0.2222222222222222,0.05555555555555555,0.0,0.7222222222222222,0.1388888888888889,0.16666666666666666,0.08333333333333333,0.7222222222222222,0.05555555555555555,0.25,0.1388888888888889,0.08333333333333333,0.0,0.5,0.0,0.0,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.8611111111111112,0.0,0.16666666666666666,0.027777777777777776,0.0,0.05555555555555555,0.75,0.0,0.0,0.16666666666666666,0.8333333333333334,8,2,0,26,5,6,3,26,2,9,5,3,0,18,0,0,1,3,1,31,0,6,1,0,2,27,0,0,6,30
Kazakhstan,KAZ,36,0.05555555555555555,0.05555555555555555,0.0,0.8888888888888888,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.8888888888888888,0.1388888888888889,0.2777777777777778,0.4166666666666667,0.2777777777777778,0.0,0.2222222222222222,0.0,0.0,0.027777777777777776,0.19444444444444445,0.0,0.7777777777777778,0.0,0.1388888888888889,0.0,0.0,0.0,0.8611111111111112,0.0,0.0,0.2222222222222222,0.7777777777777778,2,2,0,32,2,1,1,32,5,10,15,10,0,8,0,0,1,7,0,28,0,5,0,0,0,31,0,0,8,28
Argentina,ARG,34,0.4411764705882353,0.058823529411764705,0.0,0.5294117647058824,0.058823529411764705,0.3235294117647059,0.11764705882352941,0.5294117647058824,0.029411764705882353,0.14705882352941177,0.20588235294117646,0.08823529411764706,0.0,0.6470588235294118,0.08823529411764706,0.0,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.7941176470588235,0.0,0.17647058823529413,0.17647058823529413,0.0,0.0,0.7352941176470589,0.0,0.0,0.08823529411764706,0.9117647058823529,15,2,0,18,2,11,4,18,1,5,7,3,0,22,3,0,1,1,2,27,0,6,6,0,0,25,0,0,3,31
