country,dim1,dim2,dim3,dim4
Albania,-0.18134974099370288,0.22502953362836647,0.05338237488399242,-0.09830995099467424
Algeria,0.40535560114572894,0.008624373693483203,0.0952143660719363,-0.05998237794426887
Argentina,-0.28516277704523296,0.2275044371166406,0.15717884708643445,0.025219231376682454
Bahrain,-0.2974376030400078,-0.24877569223486568,-0.2006776497452569,-0.20921024978461217
Bangladesh,0.2798072967432651,-0.058648064190350596,-0.1838525587550403,0.00854279127915703
Belgium,-0.2210698486821224,-0.026947958401004182,-0.11265482946629533,-0.06150533083485905
Brazil,-0.1586373565859588,-0.11869814535132513,-0.019891553367500616,-0.05821632830823149
Chile,-0.07140046588775666,-0.03734230305088961,0.01264917012359821,0.03584687839781154
China,0.018672982856970985,-0.12970816807547064,-0.18240723976089562,0.11080701096669149
Colombia,-0.17523173422196023,-0.20160207720591336,0.11078890453086176,-0.1544464386738648
Cuba,0.39744193865776173,-0.019310543876701586,-0.11729026835227488,-0.054549134836567696
Denmark,-0.07609206832583466,0.08628294770676125,0.0009813561193498521,0.06278590657193645
Ecuador,-0.2977226467870625,0.06840493623591808,0.07563698186318675,-0.03493063670891952
Egypt,0.270324457754568,-0.02616124673554595,-0.10396275994037588,-0.019691065316205916
France,-0.14715682281847553,0.1074572901128751,-0.1410686721667895,0.03196851010073833
Gabon,-0.3337519992744735,-0.0335636501014379,-0.003951395526788931,-0.05697706598400186
Ghana,-0.3575962453323888,-0.07492967115445509,-0.007402014125108969,-0.0928681490922355
Greece,-0.23816882988625793,0.057282148764417534,-0.12059138345153576,-0.032440367809421014
Guyana,0.06694454283501892,-0.039743265713118134,0.016896436398444695,0.1138793530155532
India,-0.40009100817151405,-0.11927558595444958,0.00821660641818036,-0.20584275634247423
Indonesia,0.049661294829855956,-0.09309488940721208,-0.03221181337768157,-0.07114208105424413
Iran,0.5073915167185828,0.0927224853086198,0.14242753882052103,-0.009219377341650238
Iraq,0.2981890089538115,-0.051179694023613546,0.0095494144649892,-0.0006752069320335993
Ireland,-0.09264843746515947,-0.030750745490491956,-0.14134519983125937,0.08729538224904597
Japan,-0.20106103584098026,0.033129065545152284,0.10092500029543446,0.04818762269234815
Jordan,0.41735308107792185,0.024503096303661768,-0.24638542487398657,0.028311123172448358
Kazakhstan,-0.35356879462562335,-0.2585875649651477,-0.2066036661335348,-0.18609375910896336
Kuwait,0.30305092757673957,0.060106303478724005,-0.11867566412822322,-0.21693033267657852
Lebanon,0.21623865405608794,-0.011195472263056982,0.028462063773383048,0.009752943899376513
Libya,0.3842399443439476,0.03593192125990439,0.059970183329604215,-0.27839121301746705
Liechtenstein,-0.19084010118270725,-0.14396873376406166,0.16979363202931744,-0.09214932602134882
Malaysia,0.2974950085357289,-0.030261291415451228,-0.13588755652989026,-0.1226337084548673
Maldives,0.1551799680437059,0.032313421779531636,-0.18944098088893846,-0.287929988834229
Malta,-0.10034898345991565,-0.018448000904539897,-0.01163943610566641,0.10760721929771856
Mauritania,0.5395606757380136,0.1075781839112393,-0.041304452349044486,0.10174410446587996
Mexico,-0.22450963999525655,-0.1347498597246628,0.0175329059291867,-0.04574869241988575
Morocco,-0.21866427398024751,-0.1727929409512572,-0.15629787923762975,-0.2728507394330062
Mozambique,-0.2570690017613811,-0.16583458153011463,0.07705285516098823,-0.13651422516522088
Namibia,0.06995832092145651,-0.28102855715513514,-0.09749288256928831,-0.07407329386334621
New Zealand,-0.24467684506160012,0.038036330304294284,-0.056275293214006976,0.055570730118532266
Norway,-0.2018258407000376,-0.1327591901685658,-0.22695756767063602,-0.11060547338790093
Oman,0.28167891054504235,-0.01829692242191641,-0.2327317903833711,-0.13564375838985604
Pakistan,0.221209149730246,-0.06850631018209616,-0.07906386636317837,-0.015606485820946696
Panama,-0.20104172550834165,0.040697728649926705,0.16568490991846466,0.011642419487201633
Peru,-0.2731799087138157,-0.03279185962009652,0.07435853187189356,-0.05865486466947574
Philippines,-0.4425906625823753,-0.24525860551623363,0.011914880256591081,-0.25409050271236255
Poland,-0.2696667454254979,-0.1100149328632817,0.07680109660218197,-0.019563127616705336
Portugal,-0.22139610264885273,0.009435097804164867,-0.0819817923725959,0.032210558948891514
Qatar,0.006830896833826105,-0.1504682614076594,-0.05126451915177635,-0.08586098962465954
Republic of Korea,-0.09437211179879065,0.06632207008441446,0.0029789949564362145,0.14096845523189372
Russian Federation,0.17667094824499643,-0.03210899607604461,0.14322760568148635,0.012524572621637836
Saudi Arabia,0.19007145635171246,-0.043462836704586484,-0.07598377348523876,-0.03339893356795124
Sierra Leone,-0.12545158541826126,-0.08466853618718678,0.11477238889890125,0.06074391254237275
Slovenia,-0.15960060181797464,-0.08567479381888936,0.08435201956571617,0.006837063734023078
Somalia,0.09424437063981708,-0.12366624217267035,-0.08091205491121223,-0.01347129981652254
South Africa,0.12344209796828239,-0.054300957668465454,0.1407834588282957,-0.05915511931364048
Spain,-0.33695469802279754,-0.12535917492139587,-0.17492997122687085,-0.16813739461105265
Sri Lanka,-0.17512700089442798,-0.14803128993841622,0.03374568254571695,-0.07905456877976022
Switzerland,-0.22590587233789308,-0.03350128978670563,0.08679902346327784,0.029732845344603805
Syrian Arab Republic,0.5505380040545906,0.09785596596640267,0.11110960934638332,0.0133840401870228
Thailand,-0.47098871800587555,-0.2032352833385812,-0.06810098193312565,-0.15234703461570293
Tunisia,0.5056986747001121,0.008399520403717447,-0.035278371412435804,0.021141963747413284
Türkiye,0.1597981139113079,-0.0986297506909735,-0.024117917528963338,-0.04042999054715671
Uganda,0.19503896206418608,-0.17837451879625574,-0.180417996790518,0.17422147987517078
United Arab Emirates,-0.0188493199503428,-0.07283261899052848,-0.034880649690468606,0.06224828258579297
United Kingdom,-0.12113093787575889,0.13444628035049866,-0.1508379492439821,0.0755130550200819
United States,-0.12745963001679717,0.4046297898101411,-0.004864618828283972,-0.06261459107383748
Venezuela,0.5301042710635049,0.08827527104478629,-0.06473004909669412,-0.14500290398341525
Viet Nam,-0.29756408211977636,-0.2214321679778162,0.003143644125911028,-0.10940468861134023
Yemen,0.24520876654859508,-0.13902565820086277,-0.04248421406635996,0.10094097624707403
