Event,Outcome,post coef,Clustered SE,95% CI,N paragraphs,N countries,Logit post,WLS post,WLS SE
E1 icj orders,attribution_israel,-0.10442173442685398,0.03462251553573795,"[-0.172, -0.037]",2709,64,-0.5791991455011217,-0.10442173442685418,0.03580303268772539
E1 icj orders,structural_violence,0.005056050716738578,0.036462032838690164,"[-0.066, +0.077]",2709,64,0.02323302122248796,0.005056050716738154,0.03770527165298055
E1 icj orders,transformative_framing,-0.05225237992817343,0.015950182393707334,"[-0.084, -0.021]",6563,65,-0.5660887050948006,-0.05225237992817386,0.01657887157864493
E1 icj orders,transformative_framing_strict,-0.044217046420219196,0.013028721944430475,"[-0.070, -0.019]",6563,65,-0.5782254635875442,-0.044217046420219716,0.013542259431202644
E2 ceasefire 1,attribution_israel,-0.10118486673938026,0.052252687510262553,"[-0.204, +0.001]",1770,48,-0.7298266610678321,-0.1011848667393805,0.05486146615905863
E2 ceasefire 1,structural_violence,-0.126616297435753,0.04320458868954692,"[-0.211, -0.042]",1770,48,-0.5592031661406748,-0.1266162974357529,0.045361630056676164
E2 ceasefire 1,transformative_framing,,,skipped (model boundary),0,0,,,
E2 ceasefire 1,transformative_framing_strict,,,skipped (model boundary),0,0,,,
